seed_key,hospital_name,username,password_demo_only
kem_mumbai,KEM Hospital (Seth G.S. Medical College),kem_mumbai,CareHosp@001
sion_mumbai,Lokmanya Tilak Municipal General Hospital (Sion Hospital),sion_mumbai,CareHosp@002
jj_mumbai,Sir J.J. Hospital,jj_mumbai,CareHosp@003
nair_mumbai,B.Y.L. Nair Hospital,nair_mumbai,CareHosp@004
lilavati_mumbai,Lilavati Hospital and Research Centre,lilavati_mumbai,CareHosp@005
kokilaben_mumbai,Kokilaben Dhirubhai Ambani Hospital,kokilaben_mumbai,CareHosp@006
jaslok_mumbai,Jaslok Hospital and Research Centre,jaslok_mumbai,CareHosp@007
hinduja_mumbai,P.D. Hinduja Hospital and Medical Research Centre,hinduja_mumbai,CareHosp@008
bombay_mumbai,Bombay Hospital and Medical Research Centre,bombay_mumbai,CareHosp@009
wockhardt_mumbai,"Wockhardt Hospital, Mumbai Central",wockhardt_mumbai,CareHosp@010
nanavati_mumbai,Nanavati Max Super Speciality Hospital,nanavati_mumbai,CareHosp@011
holyfamily_mumbai,"Holy Family Hospital, Bandra",holyfamily_mumbai,CareHosp@012
fortis_mulund,"Fortis Hospital, Mulund",fortis_mulund,CareHosp@013
saifee_mumbai,Saifee Hospital,saifee_mumbai,CareHosp@014
cooper_mumbai,HBT Medical College and Dr. R.N. Cooper Hospital,cooper_mumbai,CareHosp@015
rajawadi_mumbai,Rajawadi Hospital,rajawadi_mumbai,CareHosp@016
bhabha_mumbai,K.B. Bhabha Municipal General Hospital,bhabha_mumbai,CareHosp@017
breachcandy_mumbai,Breach Candy Hospital Trust,breachcandy_mumbai,CareHosp@018
apollo_navimumbai,"Apollo Hospitals, Navi Mumbai (CBD Belapur)",apollo_navimumbai,CareHosp@019
gleneagles_mumbai,"Gleneagles Hospital (Global), Parel",gleneagles_mumbai,CareHosp@020
sevenhills_mumbai,"SevenHills Hospital (Reliance Foundation), Marol",sevenhills_mumbai,CareHosp@021
hiranandani_mumbai,"Dr. L.H. Hiranandani Hospital, Powai",hiranandani_mumbai,CareHosp@022
bhagwati_mumbai,"Shri Harilal Bhagwati Municipal Hospital, Borivali",bhagwati_mumbai,CareHosp@023
sassoon_pune,Sassoon General Hospital,sassoon_pune,CareHosp@024
rubyhall_pune,"Ruby Hall Clinic, Sassoon Road",rubyhall_pune,CareHosp@025
jehangir_pune,Jehangir Hospital,jehangir_pune,CareHosp@026
dmh_pune,Deenanath Mangeshkar Hospital and Research Center,dmh_pune,CareHosp@027
kem_pune,"KEM Hospital, Rasta Peth",kem_pune,CareHosp@028
abmh_pune,"Aditya Birla Memorial Hospital, Chinchwad",abmh_pune,CareHosp@029
sahyadri_pune,"Sahyadri Super Speciality Hospital, Deccan Gymkhana",sahyadri_pune,CareHosp@030
poona_pune,Poona Hospital and Research Centre,poona_pune,CareHosp@031
noble_pune,"Noble Hospitals and Research Centre, Hadapsar",noble_pune,CareHosp@032
ycm_pune,"PCMC Yashwantrao Chavan Memorial Hospital, Pimpri",ycm_pune,CareHosp@033
inamdar_pune,Inamdar Multispeciality Hospital,inamdar_pune,CareHosp@034
